;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Fin atencion Darsena 2;403;9;16hs 54min 44s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;413;0hs 4min 52s;0;Ocupado;405;0hs 12min 13s;12;Ocupado;404;0hs 12min 13s;9;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;413;9;16hs 59min 37s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;405;0hs 7min 21s;12;Ocupado;404;0hs 12min 25s;9;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;414;9;17hs 4min 47s;0hs 1min 42s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;405;0hs 2min 11s;12;Ocupado;404;0hs 7min 15s;9;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;415;9;17hs 6min 30s;0hs 14min 36s;Ocupado;414;0hs 4min 37s;1;Libre;----;0hs 0min 0s;0;Ocupado;405;0hs 0min 28s;12;Ocupado;404;0hs 5min 32s;9;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;405;9;17hs 6min 58s;0hs 0min 0s;Ocupado;414;0hs 4min 8s;1;Libre;----;0hs 0min 0s;0;Ocupado;406;0hs 18min 41s;13;Ocupado;404;0hs 5min 3s;9;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;414;9;17hs 11min 7s;0hs 0min 0s;Ocupado;415;0hs 4min 16;0;Libre;----;0hs 0min 0s;1;Ocupado;406;0hs 14min 33s;13;Ocupado;404;0hs 0min 55s;9;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;404;9;17hs 12min 2s;0hs 0min 0s;Ocupado;415;0hs 3min 21s;0;Ocupado;414;0hs 5min 15s;0;Ocupado;406;0hs 13min 37s;13;Ocupado;407;0hs 13min 37s;10;6;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;415;9;17hs 15min 24s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;414;0hs 1min 54s;1;Ocupado;406;0hs 10min 16s;13;Ocupado;407;0hs 15min 47s;10;6;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;414;9;17hs 17min 18s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;415;..hs ..min ..s;0;Ocupado;406;0hs 8min 22s;13;Ocupado;407;0hs 13min 53s;10;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;416;9;17hs 21min 7s;0hs 2min 7s;Libre;----;0hs 0min 0s;1;Ocupado;415;0hs 1min 15s;0;Ocupado;406;0hs 4min 33s;13;Ocupado;407;0hs 10min 4s;10;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;415;9;17hs 22min 22s;0hs 0min 0s;Ocupado;416;0hs 2min 33s;0;Libre;----;..hs ..min ..s;0;Ocupado;406;0hs 3min 18s;13;Ocupado;407;0hs 8min 49s;10;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;417;9;17hs 23min 15s;0hs 2min 57s;Ocupado;416;0hs 1min 41s;1;Libre;----;0hs 0min 0s;0;Ocupado;406;0hs 2min 25s;13;Ocupado;407;0hs 7min 56s;10;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;416;9;17hs 24min 56s;0hs 0min 0s;Ocupado;417;0hs 3min 24;0;Libre;----;0hs 0min 0s;1;Ocupado;406;0hs 0min 44s;13;Ocupado;407;0hs 6min 15s;10;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;406;9;17hs 25min 40s;0hs 0min 0s;Ocupado;417;0hs 2min 40s;0;Ocupado;416;0hs 4min 55s;0;Ocupado;408;0hs 19min 29s;14;Ocupado;407;0hs 5min 30s;10;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;418;9;17hs 26min 13s;0hs 15min 55s;Ocupado;417;0hs 2min 8s;1;Ocupado;416;0hs 4min 23s;0;Ocupado;408;0hs 18min 57s;14;Ocupado;407;0hs 4min 58s;10;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;417;9;17hs 28min 21s;0hs 0min 0s;Ocupado;418;0hs 3min 18;0;Ocupado;416;0hs 2min 15s;1;Ocupado;408;0hs 16min 49s;14;Ocupado;407;0hs 2min 50s;10;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;416;9;17hs 30min 36s;0hs 0min 0s;Ocupado;418;0hs 1min 3s;0;Ocupado;417;..hs ..min ..s;0;Ocupado;408;0hs 14min 34s;14;Ocupado;407;0hs 0min 35s;10;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;407;9;17hs 31min 11s;0hs 0min 0s;Ocupado;418;0hs 0min 28s;0;Ocupado;417;0hs 5min 56s;0;Ocupado;408;0hs 13min 58s;14;Ocupado;409;0hs 13min 58s;11;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;418;9;17hs 31min 40s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;417;0hs 5min 28s;1;Ocupado;408;0hs 13min 30s;14;Ocupado;409;0hs 14min 55s;11;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;417;9;17hs 37min 8s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;418;..hs ..min ..s;0;Ocupado;408;0hs 8min 2s;14;Ocupado;409;0hs 9min 27s;11;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;419;9;17hs 42min 9s;0hs 0min 5s;Libre;----;0hs 0min 0s;1;Ocupado;418;0hs 1min 24s;0;Ocupado;408;0hs 3min 1s;14;Ocupado;409;0hs 4min 26s;11;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;420;9;17hs 42min 15s;0hs 12min 14s;Ocupado;419;0hs 5min 58s;1;Ocupado;418;0hs 1min 18s;0;Ocupado;408;0hs 2min 55s;14;Ocupado;409;0hs 4min 20s;11;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;418;9;17hs 43min 33s;0hs 0min 0s;Ocupado;419;0hs 4min 39s;1;Libre;----;..hs ..min ..s;0;Ocupado;408;0hs 1min 37s;14;Ocupado;409;0hs 3min 2s;11;9;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;408;9;17hs 45min 10s;0hs 0min 0s;Ocupado;419;0hs 3min 2s;1;Libre;----;0hs 0min 0s;0;Ocupado;410;0hs 15min 10s;15;Ocupado;409;0hs 1min 24s;11;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Calibrando Darsena 1;----;9;17hs 45min 11s;0hs 0min 0s;Ocupado;419;0hs 3min 1s;1;Libre;----;0hs 0min 0s;0;Calibrando;----;0hs 9min 11s;----;Ocupado;409;0hs 1min 23s;11;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;409;9;17hs 46min 35s;0hs 0min 0s;Ocupado;419;0hs 1min 37s;1;Libre;----;0hs 0min 0s;0;Calibrando;----;0hs 7min 47s;----;Ocupado;411;0hs 7min 47s;12;7;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;419;9;17hs 48min 13s;0hs 0min 0s;Ocupado;420;0hs 5min 13;0;Libre;----;0hs 0min 0s;0;Calibrando;----;0hs 6min 10s;----;Ocupado;411;0hs 18min 15s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;420;9;17hs 53min 27s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;0;Calibrando;----;0hs 0min 56s;----;Ocupado;411;0hs 13min 1s;12;9;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin calibracion Darsena 1;----;9;17hs 54min 23s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;1;Ocupado;411;0hs 12min 4s;12;9;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;421;9;17hs 54min 30s;0hs 1min 14s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;412;0hs 17min 9s;1;Ocupado;411;0hs 11min 58s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;422;9;17hs 55min 45s;0hs 0min 2s;Ocupado;421;0hs 1min 52s;1;Libre;----;0hs 0min 0s;0;Ocupado;412;0hs 15min 54s;1;Ocupado;411;0hs 10min 43s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;423;9;17hs 55min 48s;0hs 1min 53s;Ocupado;421;0hs 1min 49s;2;Libre;----;0hs 0min 0s;0;Ocupado;412;0hs 15min 51s;1;Ocupado;411;0hs 10min 40s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;421;9;17hs 57min 37s;0hs 0min 0s;Ocupado;422;0hs 4min 34;1;Libre;----;0hs 0min 0s;1;Ocupado;412;0hs 14min 2s;1;Ocupado;411;0hs 8min 51s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;424;9;17hs 57min 42s;0hs 0min 31s;Ocupado;422;0hs 4min 30s;2;Ocupado;421;0hs 5min 44s;0;Ocupado;412;0hs 13min 57s;1;Ocupado;411;0hs 8min 46s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;425;9;17hs 58min 14s;0hs 2min 9s;Ocupado;422;0hs 3min 58s;3;Ocupado;421;0hs 5min 12s;0;Ocupado;412;0hs 13min 25s;1;Ocupado;411;0hs 8min 14s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Cierre de planta;----;9;18hs 0min 0s;----;Ocupado;422;0hs 2min 12s;3;Ocupado;421;0hs 3min 26s;0;Ocupado;412;0hs 11min 39s;1;Ocupado;411;0hs 6min 28s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;422;9;18hs 2min 12s;0hs 0min 0s;Libre;----;..hs ..min ..;3;Ocupado;421;0hs 1min 14s;1;Ocupado;412;0hs 9min 27s;1;Ocupado;411;0hs 4min 16s;12;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;421;9;18hs 3min 26s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Ocupado;422;..hs ..min ..s;0;Ocupado;412;0hs 8min 13s;1;Ocupado;411;0hs 3min 2s;12;9;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;411;9;18hs 6min 28s;0hs 0min 0s;Libre;----;0hs 0min 0s;3;Ocupado;422;0hs 3min 34s;0;Ocupado;412;0hs 5min 10s;1;Ocupado;413;0hs 5min 10s;13;8;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
